Date,Adj Close**
1-Jul-10,78.95
1-Aug-10,79.46
1-Sep-10,79.97
1-Oct-10,81.43
1-Nov-10,84.11
1-Dec-10,91.38
1-Jan-11,92.19
1-Feb-11,96.97
1-Mar-11,106.72
1-Apr-11,113.93
1-May-11,104.675
1-Jun-11,95.42
1-Jul-11,95.7
1-Aug-11,88.81
1-Sep-11,79.2
1-Oct-11,93.19
1-Nov-11,100.36
1-Dec-11,98.83
1-Jan-12,102.95
1-Feb-12,107.07
1-Mar-12,103.02
1-Apr-12,94.775
1-May-12,86.53
1-Jun-12,84.96
1-Jul-12,90.715
1-Aug-12,96.47
1-Sep-12,92.19
1-Oct-12,86.24
1-Nov-12,88.91
1-Dec-12,91.82
1-Jan-13,97.49
1-Feb-13,92.05
1-Mar-13,97.23
1-Apr-13,93.46
1-May-13,91.97
1-Jun-13,96.56
1-Jul-13,105.03
1-Aug-13,107.65
1-Sep-13,102.015
1-Oct-13,96.38
1-Nov-13,92.72
1-Dec-13,95.105
1-Jan-14,97.49
1-Feb-14,102.59
1-Mar-14,101.58
1-Apr-14,99.74
1-May-14,102.71
1-Jun-14,100.44
1-Jul-14,98.17
1-Aug-14,95.96
1-Sep-14,91.16
1-Oct-14,80.54
1-Nov-14,66.15
1-Dec-14,53.27
1-Jan-15,48.24
1-Feb-15,48.24
1-Mar-15,48.24
1-Apr-15,59.63
1-May-15,60.3
1-Jun-15,59.47
1-Jul-15,47.12
1-Aug-15,49.2
1-Sep-15,45.09
1-Oct-15,46.59
1-Nov-15,41.815
1-Dec-15,37.04
1-Jan-16,33.62
1-Feb-16,33.75
1-Mar-16,38.34
1-Apr-16,45.92
1-May-16,47.125
1-Jun-16,48.33
1-Jul-16,41.6
1-Aug-16,44.7
1-Sep-16,48.24
1-Oct-16,46.86
1-Nov-16,49.44
1-Dec-16,53.72
1-Jan-17,53.865
1-Feb-17,54.01
1-Mar-17,50.6
1-Apr-17,49.33
1-May-17,48.32
1-Jun-17,46.04
1-Jul-17,50.17
1-Aug-17,47.23
1-Sep-17,51.67
1-Oct-17,54.535
1-Nov-17,57.4
1-Dec-17,60.42
1-Jan-18,64.73
1-Feb-18,61.64
1-Mar-18,64.94
1-Apr-18,65.99
1-May-18,67.04
1-Jun-18,74.15
1-Jul-18,71.975
1-Aug-18,69.8
1-Sep-18,73.25
1-Oct-18,65.31
1-Nov-18,50.93
1-Dec-18,45.41
1-Jan-19,53.79
1-Feb-19,57.22
1-Mar-19,60.14
1-Apr-19,63.91
1-May-19,53.5
1-Jun-19,58.47
1-Jul-19,58.58
1-Aug-19,55.1
1-Sep-19,54.64
1-Oct-19,54.18
1-Nov-19,55.17
1-Dec-19,51.56
